day_of_week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Monday,184.5,196.8,236.4,250.1,257.45,249.4,390.9,521.7,189.20000000000002,112.5,145.8,72.9
Tuesday,153.9,206.2,243.5,181.2,198.2,256.2,337.8,494.7,209.8,86.4,117.0,77.4
Wednesday,,,74.1,154.5,158.9,230.05,372.4,430.40000000000003,159.5,62.1,57.6,47.7
Thursday,160.20000000000002,207.0,177.3,234.2,199.65,229.55,399.3,416.6,248.6,99.9,90.0,102.60000000000001
Friday,153.0,207.35,217.15,275.35,268.75,189.65,467.2,394.0,257.0,124.2,83.7,144.0
Saturday,234.0,235.6,266.4,317.8,398.35,330.55,538.5,453.3,316.4,177.3,112.5,108.9
Sunday,336.6,379.15,314.75,363.35,532.75,436.25,671.3,638.7,372.2,222.3,135.0,126.0
