day_of_week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Monday,160.79999999999998,177.15,238.85,335.25,356.34999999999997,341.15,516.2,971.9,219.70000000000002,93.6,168.0,98.39999999999999
Tuesday,129.6,231.25,266.15,300.2,203.65,278.05,435.2,777.3,221.4,122.39999999999999,128.4,93.6
Wednesday,,,152.5,154.85,150.5,250.9,501.1,639.6,226.3,136.79999999999998,58.8,64.8
Thursday,154.79999999999998,233.6,236.54999999999998,276.7,319.8,293.55,568.9,728.9,272.7,106.8,103.19999999999999,122.39999999999999
Friday,214.79999999999998,298.09999999999997,281.55,351.34999999999997,431.25,272.4,743.1,720.8,360.7,174.0,85.2,199.2
Saturday,278.4,296.95,375.65,487.7,676.6,475.9,1015.4,817.7,411.6,231.6,159.6,178.79999999999998
Sunday,534.0,685.9499999999999,630.35,695.3,1117.8,915.0,1218.0,1549.5,664.0,408.0,266.4,259.2
