day_of_week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Monday,28.2,29.549999999999997,32.85,39.75,41.699999999999996,43.5,70.95,100.05,28.2,14.1,21.45,11.25
Tuesday,21.75,34.35,42.15,30.75,30.299999999999997,33.9,63.449999999999996,90.75,31.799999999999997,9.9,16.05,12.299999999999999
Wednesday,,,9.75,21.3,26.25,36.449999999999996,68.1,77.39999999999999,28.65,12.299999999999999,8.4,8.4
Thursday,24.3,35.1,30.15,42.6,44.25,35.55,77.85,75.0,31.799999999999997,17.4,14.1,15.6
Friday,26.549999999999997,35.25,38.55,51.0,51.9,37.65,85.95,64.2,46.65,24.75,14.549999999999999,52.8
Saturday,38.25,48.6,43.05,55.949999999999996,62.55,55.35,106.64999999999999,83.85,66.3,32.699999999999996,14.85,20.25
Sunday,57.75,65.39999999999999,57.599999999999994,58.949999999999996,88.35,67.5,108.6,103.05,59.099999999999994,33.75,20.7,27.15
