day_of_week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Monday,1028.3999999999999,1188.6499999999999,1440.1499999999999,1791.6,1927.6499999999999,1641.05,3074.4,4908.9,1341.3,564.0,837.5999999999999,472.79999999999995
Tuesday,705.5999999999999,1127.95,1491.6,1313.0,1317.6,1379.3999999999999,2620.9,3973.5,1171.5,591.6,609.6,423.59999999999997
Wednesday,,,461.25,1087.8,1118.1,1461.5,2735.3,4105.9,1307.7,597.6,327.59999999999997,319.2
Thursday,820.8,1154.25,1186.8,1561.1,1669.85,1374.6,3167.7,3963.2,1402.2,607.1999999999999,603.6,625.1999999999999
Friday,756.0,1228.6499999999999,1125.25,1605.45,1815.2,1268.2,3133.5,3342.0,1499.5,724.8,542.4,978.0
Saturday,1225.2,1696.0,1747.95,2323.6,2987.1,2073.5,4642.0,4290.3,2053.6,1143.6,680.4,684.0
Sunday,1933.1999999999998,2335.25,2254.95,2614.25,4042.15,3124.25,4732.8,5848.1,2540.9,1506.0,795.5999999999999,861.5999999999999
