day_of_week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Monday,154.0,193.7,237.0,349.95,369.5,378.45,678.1,1076.1,248.9,103.4,136.4,80.30000000000001
Tuesday,139.70000000000002,218.85,233.25,254.05,177.2,249.7,496.40000000000003,787.0,188.8,102.30000000000001,100.10000000000001,107.80000000000001
Wednesday,,,129.95,201.55,152.25,276.1,524.1,664.3,223.5,88.0,45.1,44.0
Thursday,161.70000000000002,209.85,196.4,246.45,309.8,255.7,625.2,833.0,312.7,100.10000000000001,130.9,157.3
Friday,233.20000000000002,194.8,249.1,273.2,405.25,281.4,716.0,743.7,317.6,156.20000000000002,85.80000000000001,188.10000000000002
Saturday,335.5,330.55,358.3,559.5,710.95,564.95,1121.8,963.5,516.2,276.1,161.70000000000002,168.3
Sunday,613.8000000000001,816.3000000000001,723.2,864.7,1339.8,1006.0,1565.4,1754.9,887.5,512.6,323.40000000000003,311.3
