day_of_week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Monday,180.6,208.05,258.35,338.15000000000003,294.3,262.85,539.75,759.0,227.4,100.8,154.35,88.2
Tuesday,131.25,223.70000000000002,289.45000000000005,237.70000000000002,207.70000000000002,280.15000000000003,442.65,636.65,246.95,101.85000000000001,92.4,91.35000000000001
Wednesday,,,77.0,182.20000000000002,195.3,294.1,489.9,555.15,208.9,88.2,66.15,63.0
Thursday,183.75,216.35000000000002,257.8,314.0,317.5,257.0,608.5,573.95,312.55,114.45,151.20000000000002,105.0
Friday,155.4,204.70000000000002,246.25000000000003,307.95000000000005,346.8,245.45000000000002,620.35,543.15,288.6,126.0,80.85000000000001,137.55
Saturday,229.95000000000002,294.20000000000005,301.75,360.05,475.40000000000003,336.55,743.0,654.1,349.8,185.85000000000002,122.85000000000001,103.95
Sunday,385.35,364.95000000000005,359.8,393.95000000000005,615.3000000000001,411.5,801.9499999999999,778.3,383.65,282.45,149.1,142.8
